name	formula	state	pwd_xyz	energy	Mass	Na	ID
SiC3H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC3H_2Pi.xyz	-403.580398	0.0	0	NoFormulaMatching
SiC2H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC2H_2Pi.xyz	-365.587632	0.0	0	NoFormulaMatching
AlCl	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/AlCl_1Sigma.xyz	-701.796356	0.0	0	NoFormulaMatching
OCS	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OCS_1Sigma.xyz	-510.93330599999996	0.0	0	NoFormulaMatching
H2CS	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CS_1A1.xyz	-436.944579	0.0	0	NoFormulaMatching
S2	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/S2_3Sigma.xyz	-795.467737	0.0	0	NoFormulaMatching
SiC4	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC4_1Sigma.xyz	-440.95670099999995	0.0	0	NoFormulaMatching
AlO	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/AlO_2Sigma.xyz	-317.093882	0.0	0	NoFormulaMatching
SiC8H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC8H_2Pi.xyz	-593.36294	0.0	0	NoFormulaMatching
H2S	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2S_1A1.xyz	-398.943621	0.0	0	NoFormulaMatching
H2SiC2H	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2SiC2H_2Ap.xyz	-366.816912	0.0	0	NoFormulaMatching
c-SiC2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-SiC2_1A1.xyz	-364.956163	0.0	0	NoFormulaMatching
CH3C2Si	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C2Si_2Ap.xyz	-404.835654	0.0	0	NoFormulaMatching
CP	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CP_2Sigma.xyz	-378.792334	0.0	0	NoFormulaMatching
C4P	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4P_2Pi.xyz	-492.803394	0.0	0	NoFormulaMatching
AlF	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/AlF_1Sigma.xyz	-341.811072	0.0	0	NoFormulaMatching
c-SiC3	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-SiC3_1A1.xyz	-402.92269500000003	0.0	0	NoFormulaMatching
SiH4	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH4_1A1.xyz	-291.442788	0.0	0	NoFormulaMatching
H2SiS	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2SiS_1A1.xyz	-688.001179	0.0	0	NoFormulaMatching
HC2P	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC2P_3Sigma.xyz	-417.46141	0.0	0	NoFormulaMatching
H2SiO	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2SiO_1A1.xyz	-365.384981	0.0	0	NoFormulaMatching
CS	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CS_1Sigma.xyz	-435.701617	0.0	0	NoFormulaMatching
C2P	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2P_2Pi.xyz	-416.787185	0.0	0	NoFormulaMatching
C3P	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3P_2Pi.xyz	-454.79720599999996	0.0	0	NoFormulaMatching
CH2PH	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2PH_1Ap.xyz	-380.710833	0.0	0	NoFormulaMatching
HF	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HF_1Sigma.xyz	-100.349577	0.0	0	NoFormulaMatching
NaOH	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NaOH_1Sigma.xyz	-237.627565	0.0	0	NoFormulaMatching
SiC4H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC4H_2Pi.xyz	-441.60594699999996	0.0	0	NoFormulaMatching
HCNS	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCNS_1Ap.xyz	-490.98248600000005	0.0	0	NoFormulaMatching
HCSi	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCSi_2Pi.xyz	-327.546895	0.0	0	NoFormulaMatching
SiC3	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC3_1Sigma.xyz	-402.89884	0.0	0	NoFormulaMatching
HSNC	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSNC_1Ap.xyz	-490.979789	0.0	0	NoFormulaMatching
SiH2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH2_1A1.xyz	-290.174397	0.0	0	NoFormulaMatching
HCS	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCS_2Ap.xyz	-436.28770999999995	0.0	0	NoFormulaMatching
CCl	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CCl_2Pi.xyz	-497.60744800000003	0.0	0	NoFormulaMatching
HSSH	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSSH_1A1.xyz	-796.687569	0.0	0	NoFormulaMatching
PN	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PN_1Sigma.xyz	-395.557118	0.0	0	NoFormulaMatching
LiH	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/LiH_1Sigma.xyz	-8.023143	0.0	0	NoFormulaMatching
H2CSi	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CSi_1A1.xyz	-328.207983	0.0	0	NoFormulaMatching
HPO	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HPO_1Ap.xyz	-416.626662	0.0	0	NoFormulaMatching
