name	formula	state	pwd_xyz	energy	Mass	Na
C8	C8	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8_1Sigma.xyz	-303.816623	96.0856	8
C7N	C7N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C7N_2Pi.xyz	-320.340957	98.0816	8
C6N2	C6N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C6N2_1Sigma.xyz	-337.386391	100.0776	8
C3H6	H6C3	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3H6_1Ap.xyz	-117.685363	42.07914	9
CH3CH2OH	H6C2O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CH2OH_1Ap.xyz	-154.802697	46.067440000000005	9
CH3OCH3	H6C2O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3OCH3_1A1.xyz	-154.783508	46.067440000000005	9
CH3CONH2	H5C2N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CONH2_1Ap.xyz	-208.899416	59.066300000000005	9
CH3C4H	H4C5	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C4H_1Ap.xyz	-192.450313	64.08486	9
H2C7	H2C7	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C7_1A1.xyz	-266.921865	86.09058	9
C8H	H1C8	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8H_2Pi.xyz	-304.269066	97.09344	9
HC7N	H1C7N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC7N_1Sigma.xyz	-321.051235	99.08944	9
C9	C9	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C9_1Sigma.xyz	-341.645070	108.0963	9
CH3CH2C2H	H6C4	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CH2C2H_1Ap.xyz	-155.540596	54.08984	10
CH3CHCCH2	H6C4	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CHCCH2_1Ap.xyz	-155.543056	54.08984	10
C4H6	H6C4	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4H6_1A1.xyz	-155.565060	54.08984	10
C2H6CO	H6C3O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H6CO_1A1.xyz	-192.678827	58.078140000000005	10
CH3C5N	H3C6N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C5N_1Ap.xyz	-439.347195	89.09442	10
H2C8	H2C8	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C8_1A1.xyz	-304.897579	98.10128	10
C8H2	H2C8	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8H2_1Sigma.xyz	-304.974998	98.10128	10
C9H	H1C9	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C9H_2Pi.xyz	-342.239606	109.10414	10
HC8N	H1C8N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC8N_3Sigma.xyz	-358.977145	111.10014	10
C10	C10	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C10_1Sigma.xyz	-379.537187	120.107	10
C9N	C9N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C9N_2Pi.xyz	-396.295274	122.103	10
C8N2	C8N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8N2_1Sigma.xyz	-413.077751	124.099	10
CH3C6H	H4C7	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C6H_1Ap.xyz	-268.238156	88.10626	11
H2C9	H2C9	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C9_1A1.xyz	-342.869201	110.11198	11
C10H	H1C10	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C10H_2Pi.xyz	-380.222363	121.11484	11
HC9N	H1C9N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC9N_1Sigma.xyz	-397.003808	123.11084	11
C11	C11	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C11_1Sigma.xyz	-417.532859	132.1177	11
C6H6	H6C6	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C6H6_1A1.xyz	-150.140358	78.11124	12
CH3C7N	H3C8N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C7N_1Ap.xyz	-360.268300	113.11582	12
HC10N	H1C10N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC10N_3Sigma.xyz	-434.933310	135.12154	12
C10N2	C10N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C10N2_1Sigma.xyz	-489.030958	148.1204	12
