name	formula	state	pwd_xyz	energy	Mass	Na
C4	C4	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4_1Sigma.xyz	-151.784303	48.0428	4
C3N	C3N1	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3N_2Sigma.xyz	-168.565505	50.0388	4
C3O	C3O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3O_1Sigma.xyz	-189.093219	52.0311	4
CH4	H4C1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH4_1A1.xyz	-40.440930	16.04206	5
C2H3	H3C2	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H3_2Ap.xyz	-77.757334	27.04492	5
CH2NH	H3C1N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2NH_1Ap.xyz	-94.480534	29.04092	5
HC3H	H2C3	3B	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC3H_3B.xyz	-115.118311	38.04778	5
c-C3H2	H2C3	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-C3H2_1A1.xyz	-115.142440	38.04778	5
H2C3	H2C3	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C3_1A1.xyz	-115.120889	38.04778	5
CH2CN	H2C2N1	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2CN_2B1.xyz	-131.872012	40.04378	5
H2CCO	H2C2O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CCO_1A1.xyz	-152.369102	42.03608	5
NH2CN	H2C1N2	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH2CN_1Ap.xyz	-148.562509	42.03978	5
HCOOH	H2C1O2	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCOOH_1Ap.xyz	-189.517766	46.02438	5
C4H	H1C4	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4H_2Sigma.xyz	-152.482987	49.05064	5
HC3N	H1C3N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC3N_1Sigma.xyz	-169.289101	51.046640000000004	5
HCNCC	H1C3N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCNCC_1Sigma.xyz	-169.162941	51.046640000000004	5
HNCCC	H1C3N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNCCC_1Ap.xyz	-169.206662	51.046640000000004	5
